name,latitude_deg,longitude_deg
Yaerbashi Test Range,43.077202,92.808098
Yanliang Air Base,34.642248,109.241867
Daishan Air Base,30.287581,122.144401
Feidong Air Base,31.909401,117.658997
Fuzhou Air Base,26.003857,119.312832
Huian Air Base,25.0261,118.806999
Hangzhou Jianqiao Airport,30.3353,120.240997
Jiaxing Airport / Jiaxing Air Base,30.705535,120.679779
Longtian Air Base,25.5728,119.459999
Nanchang Xiangtang Air Base,28.421205,115.923375
Ningbo Zhuangqiao Air Base,29.9228,121.573997
Shanghai Dachang Air Base,31.324438,121.409508
Wuhan Hannan Municipal Airport,30.25521,114.062805
Zhangshu Air Base,28.023283,115.549649
Changchun Air Base,43.9053,125.197998
Beijing Nanjiao Military Airport,39.48595,116.37236
Dingxin-Shuangchengzi Air Base,40.401402,99.789398
Fuxin Air Base,42.078899,121.662003
Gongzhuling Air Base,43.526293,124.78466
Kaiyuan Air Base,42.525799,123.982002
Lalin Air Base,45.259457,126.893536
Pingquan Air Base,40.900409,118.677878
Shenyang Beiling Air Base,41.8708,123.439003
Shenyang Yuhong Quansheng Airport,41.822498,123.299004
Siping Air Base,43.156898,124.292
Suizhong Air Base,40.298992,120.36152
Tuchengzi Air Base,38.912201,121.238998
Rikaze Dingri Airport,28.604567,86.798
Tashikuergan Hongqilafu Airport,37.661333,75.288877
Jiande Qiandaohu General Airport,29.360905,119.180829
Sanya Air Base,18.28754,109.46372
Chenghu General Airport,31.215334,120.789328
Anji Tianzihu General Airport,30.797725,119.590287
Jiuzhou Airport,26.998259,107.759571
Paozhuwan Air Base,30.673944,114.63089
Shanpo Air Base,30.087612,114.31366
Ali Pulan Airport,30.397898,81.13317
Shaodong Airport,27.2235,111.6741
Ningxiang Airport,27.987589,112.604971
Zhaotong Zhaoyang Airport （Not fully opened),27.205843,103.691511
Bengbu Tenghu Airport (U.C.),33.165808,117.057295
Beijing Xijiao Airport,39.958592,116.256765
Sanshilipu Air Base,39.289671,121.762195
Brampton-Caledon Airport,43.7603,-79.875
(Duplicate}Holguín Air Base,20.786418,-76.318513
Fort Frances Municipal Airport,48.655749,-93.44349
La Grande-4 Airport,53.754699707,-73.6753005981
Sault Ste Marie Airport,46.483216,-84.508467
Kasabonika Airport,53.52470016479492,-88.6427993774414
Winnipeg / St. Andrews Airport,50.0564,-97.032501
Lac du Bonnet Airport,50.294399,-96.010002
St. Anthony Airport,51.391909,-56.08321
Tofino / Long Beach Airport,49.079833,-125.775583
Baie-Comeau Airport,49.1325,-68.204399
Bella Coola Airport,52.387501,-126.596001
Bonnyville Airport,54.304199,-110.744003
Saguenay-Bagotville Airport,48.330123,-70.992012
Baker Lake Airport,64.29889678960001,-96.077796936
Campbell River Airport,49.950802,-125.271004
Brandon Municipal Airport,49.91,-99.951897
Nipawin Airport,53.33250045776367,-104.00800323486328
Calgary / Springbank Airport,51.103982,-114.369378
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299
Cambridge Bay Airport,69.1081008911,-105.138000488
Cornwall Regional Airport,45.092637,-74.567724
Nanaimo Airport,49.05497,-123.869863
Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301
Castlegar/West Kootenay Regional Airport,49.296398,-117.632004
Miramichi Airport,47.007801,-65.449203
Charlo Airport,47.990799,-66.330299
Cochrane Airport,49.10559844970703,-81.01360321044922
Blue River Airport,52.11669921875,-119.28299713134766
Chetwynd Airport,55.687198638916016,-121.62699890136719
Dawson City Airport,64.04309844970703,-139.1280059814453
Burwash Airport,61.371101,-139.041
Deer Lake Airport,49.208159,-57.396147
Ross River Airport,61.9706001282,-132.42300415
Dauphin Barker Airport,51.1008,-100.052002
Dolbeau-Saint-Felicien Airport,48.7785,-72.375
Dawson Creek Airport,55.741245,-120.183263
Huronia Airport,44.6833000183,-79.9282989502
Edmonton International Airport,53.3097,-113.580002
Elliot Lake Municipal Airport,46.351398468,-82.5614013672
Manitoulin East Municipal Airport,45.842435,-81.857595
Estevan Airport,49.2103004456,-102.966003418
Edson Airport,53.578899383499994,-116.464996338
Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709
Amos/Magny Airport,48.563903,-78.249702
Iqaluit Airport,63.756402,-68.555801
Fredericton International Airport,45.868697,-66.529891
Brantford Municipal Airport,43.131401,-80.342499
Forestville Airport,48.74610137939453,-69.09719848632812
Mont-Tremblant International Airport,46.409401,-74.779999
Fort Resolution Airport,61.1808013916,-113.690002441
Fort Simpson Airport,61.76020050048828,-121.23699951171875
Goderich Airport,43.7668991089,-81.7106018066
Golden Airport,51.299196,-116.982002
Kingston Norman Rogers Airport,44.2253,-76.596901
La Grande Rivière Airport,53.625301361083984,-77.7042007446289
Gimli Industrial Park Airport,50.62810134887695,-97.04329681396484
Michel-Pouliot Gaspé Airport,48.774915,-64.481893
Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828
Îles-de-la-Madeleine Airport,47.425242,-61.778612
Havre-Saint-Pierre Airport,50.281898,-63.611401
Kuujjuarapik Airport,55.281898498535156,-77.76529693603516
Dryden Regional Airport,49.831699,-92.744202
Hearst René Fontaine Municipal Airport,49.71419906616211,-83.68609619140625
John C. Munro Hamilton International Airport,43.17348,-79.931185
Hornepayne Municipal Airport,49.19309997558594,-84.75890350341797
Haines Junction Airport,60.7892,-137.546005
Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901
Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131
Halifax / Stanfield International Airport,44.8807983398,-63.5085983276
Atikokan Municipal Airport,48.773899,-91.638603
Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093
St Augustin Airport,51.2117,-58.658298
Island Lake Airport,53.857200622558594,-94.65360260009766
Fort Liard Airport,60.235801696799996,-123.46900177
St Jean Airport,45.29439926147461,-73.28109741210938
Stephenville Dymond International Airport,48.54339,-58.552892
Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641
Region of Waterloo International Airport,43.4608,-80.378601
Key Lake Airport,57.256099700927734,-105.61799621582031
Schefferville Airport,54.805301666259766,-66.8052978515625
Kincardine Municipal Airport,44.201401,-81.606697
Kirkland Lake Airport,48.21030044555664,-79.98139953613281
Kindersley Airport,51.5175018311,-109.180999756
Chapleau Airport,47.81999969482422,-83.3467025756836
Meadow Lake Airport,54.125301361083984,-108.52300262451172
Lloydminster Airport,53.3092,-110.072998
Leaf Rapids Airport,56.513301849365234,-99.98529815673828
Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663
Alert Airport,82.517263,-62.283037
Kelowna International Airport,49.9561,-119.377998
Mayo Airport,63.61640167236328,-135.8679962158203
Matane Airport,48.85689926147461,-67.45330047607422
Manitouwadge Airport,49.083900451660156,-85.86060333251953
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016
Charlevoix Airport,47.59749984741211,-70.2238998413086
Fort McMurray International Airport,56.653301,-111.222
Moosonee Airport,51.291099548339844,-80.60780334472656
Chapais Airport,49.77190017700195,-74.5280990600586
Montreal Mirabel International Airport,45.679501,-74.038696
Natashquan Airport,50.190114,-61.78898
Ottawa / Gatineau Airport,45.521702,-75.563599
Langley Airport,49.1008,-122.630997
Points North Landing Airport,58.27669906616211,-104.08200073242188
Matagami Airport,49.76169967651367,-77.80280303955078
Nejanilini Lake Airport,59.4874992371,-97.78029632570001
Ekati Airport,64.6988983154,-110.614997864
CFB Cold Lake,54.404998779296875,-110.27899932861328
High Level Airport,58.62139892578125,-117.16500091552734
Oshawa Executive Airport,43.922798,-78.894997
Rainbow Lake Airport,58.491402,-119.407997
Owen Sound / Billy Bishop Regional Airport,44.5903015137,-80.8375015259
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197
Prince Albert Glass Field,53.214199066199996,-105.672996521
Port Hawkesbury Airport,45.6567001343,-61.3680992126
Peace River Airport,56.226898,-117.446999
Portage-la-Prairie / Southport Airport,49.903099,-98.273817
Pitt Meadows Regional Airport,49.21488,-122.709294
Pickle Lake Airport,51.4463996887207,-90.21420288085938
Port-Menier Airport,49.836399,-64.288597
Peterborough Regional Airport,44.232251,-78.362053
Prince Rupert Airport,54.286098480199996,-130.445007324
Powell River Airport,49.83420181274414,-124.5
Puvirnituq Airport,60.050598,-77.286903
Fort Chipewyan Airport,58.7672004699707,-111.11699676513672
Burns Lake Airport,54.3764,-125.950996
Muskoka Airport,44.975376,-79.306546
Quebec Jean Lesage International Airport,46.7911,-71.393303
The Pas Airport,53.97140121459961,-101.09100341796875
Red Deer Regional Airport,52.182201,-113.893997
Windsor International Airport,42.2756,-82.955597
Watson Lake Airport,60.116839,-128.821993
Yarmouth Airport,43.826900482177734,-66.08809661865234
Kenora Airport,49.788299560546875,-94.36309814453125
Lethbridge County Airport,49.6302986145,-112.800003052
Greater Moncton Roméo LeBlanc International Airport,46.113189,-64.67719
Nakina Airport,50.18280029296875,-86.69640350341797
Comox Valley International Airport / CFB Comox,49.7108,-124.887001
Regina International Airport,50.431938,-104.660906
St Thomas Municipal Airport,42.77000045776367,-81.11080169677734
Thunder Bay International Airport,48.371899,-89.323898
Grande Prairie Airport,55.1796989441,-118.885002136
Yorkton Municipal Airport,51.26470184326172,-102.46199798583984
North Battleford Airport,52.769409,-108.243742
